Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
54,136,54,2020-02-11,OKC,,SAS,L 106-114,*,33:04,6,11,.545,2,3,.667,4,8,.500,.636,3,4,.750,0,5,5,2,1,0,0,2,17,14.4,-1
55,137,55,2020-02-13,OKC,@,NOP,W 123-118,*,37:10,6,14,.429,2,6,.333,4,8,.500,.500,3,4,.750,0,3,3,7,1,0,0,2,17,15.2,5
56,138,56,2020-02-21,OKC,,DEN,W 113-101,*,38:41,4,14,.286,0,3,.000,4,11,.364,.286,3,4,.750,2,7,9,9,0,1,1,3,11,10.7,12
57,139,57,2020-02-23,OKC,,SAS,W 131-103,*,31:45,8,14,.571,1,2,.500,7,12,.583,.607,5,5,1.000,2,11,13,4,0,0,3,0,22,19.9,22
58,140,58,2020-02-25,OKC,@,CHI,W 124-122,*,33:58,5,11,.455,2,5,.400,3,6,.500,.545,9,12,.750,1,10,11,3,1,2,3,1,21,18.9,-1
59,141,59,2020-02-27,OKC,,SAC,W 112-108,*,38:00,8,15,.533,1,3,.333,7,12,.583,.567,3,6,.500,1,2,3,3,0,1,2,3,20,12.4,5
60,142,60,2020-02-28,OKC,@,MIL,L 86-133,*,26:52,5,12,.417,1,3,.333,4,9,.444,.458,0,1,.000,0,3,3,2,0,0,2,1,11,4.1,-36
61,143,61,2020-03-03,OKC,,LAC,L 94-109,*,33:58,7,12,.583,1,2,.500,6,10,.600,.625,0,0,,0,6,6,2,1,3,2,2,15,12.9,-22
62,144,62,2020-03-04,OKC,@,DET,W 114-107,*,34:32,12,15,.800,2,4,.500,10,11,.909,.867,1,1,1.000,0,2,2,3,2,2,1,0,27,26.4,12
63,145,63,2020-03-06,OKC,@,NYK,W 126-103,*,21:40,6,10,.600,1,3,.333,5,7,.714,.650,5,6,.833,0,3,3,5,2,0,0,4,18,17.8,14
64,146,65,2020-08-01,OKC,,UTA,W 110-94,*,32:23,6,12,.500,2,5,.400,4,7,.571,.583,5,6,.833,0,2,2,6,3,0,2,1,19,18.0,15
